State,EV2016,EV2017,EV2018,EV2019,EV2020,EV2021,EV2022
AL,500.00,800.00,1300.00,2000.00,2900.00,4700.00,8700.00
AK,200.00,400.00,500.00,700.00,900.00,1300.00,2000.00
AZ,4700.00,7200.00,12600.00,19500.00,28800.00,40700.00,65800.00
AR,200.00,300.00,600.00,900.00,1300.00,2400.00,5100.00
CA,141500.00,189700.00,273500.00,349700.00,425300.00,563100.00,903600.00
CO,5300.00,8000.00,12500.00,19200.00,24700.00,37000.00,59900.00
CT,2000.00,3000.00,5000.00,6900.00,9000.00,13300.00,22000.00
DE,300.00,400.00,800.00,1300.00,1900.00,3000.00,5400.00
DC,600.00,800.00,1100.00,1800.00,2400.00,3700.00,5900.00
FL,11600.00,15900.00,27400.00,40300.00,58200.00,95600.00,168000.00
GA,18000.00,14400.00,15900.00,19000.00,23500.00,34000.00,60100.00
HI,4200.00,5400.00,6600.00,8800.00,10700.00,14200.00,19800.00
ID,400.00,700.00,1100.00,1600.00,2300.00,3500.00,5900.00
IL,5800.00,8300.00,13600.00,19300.00,26000.00,36500.00,66900.00
IN,1300.00,1900.00,3400.00,5100.00,7000.00,10400.00,17700.00
IA,400.00,600.00,1100.00,1600.00,2300.00,3700.00,6200.00
KS,600.00,1000.00,1700.00,2300.00,3100.00,4500.00,7600.00
KY,500.00,700.00,1200.00,1900.00,2600.00,4200.00,7600.00
LA,400.00,600.00,900.00,1400.00,2000.00,3200.00,5900.00
ME,300.00,500.00,800.00,1300.00,1900.00,3000.00,5000.00
MD,3200.00,4400.00,8400.00,13200.00,18000.00,25600.00,46100.00
MA,3600.00,5600.00,10300.00,14100.00,21000.00,30500.00,49400.00
MI,1600.00,2500.00,4200.00,6600.00,10600.00,17500.00,33100.00
MN,1600.00,2300.00,4900.00,7700.00,10400.00,15000.00,24300.00
MS,100.00,200.00,300.00,500.00,800.00,1300.00,2400.00
MO,1400.00,2100.00,3500.00,4900.00,6700.00,10000.00,17900.00
MT,200.00,300.00,500.00,700.00,900.00,1600.00,3300.00
NE,300.00,500.00,900.00,1300.00,1800.00,2700.00,4600.00
NV,2000.00,3100.00,5100.00,7900.00,11000.00,17400.00,32900.00
NH,400.00,600.00,1200.00,1900.00,2700.00,4000.00,7000.00
NJ,4200.00,6900.00,13400.00,20200.00,30400.00,47800.00,87000.00
NM,500.00,700.00,1300.00,1900.00,2600.00,4200.00,7100.00
NY,6100.00,9400.00,15500.00,23000.00,32600.00,51900.00,84700.00
NC,2900.00,4400.00,7300.00,11600.00,16200.00,25200.00,45600.00
ND,200.00,100.00,100.00,200.00,200.00,400.00,600.00
OH,2600.00,3700.00,6400.00,10200.00,14500.00,21200.00,34100.00
OK,600.00,1200.00,3700.00,3400.00,3400.00,7100.00,16300.00
OR,7700.00,10000.00,13800.00,18800.00,22800.00,30300.00,47000.00
PA,3200.00,4400.00,8000.00,12000.00,17500.00,26800.00,47400.00
RI,300.00,400.00,700.00,1100.00,1600.00,2500.00,4300.00
SC,800.00,1200.00,2000.00,3000.00,4400.00,7400.00,13500.00
SD,100.00,100.00,200.00,300.00,400.00,700.00,1200.00
TN,2600.00,2900.00,3900.00,5700.00,7800.00,12200.00,22000.00
TX,11900.00,16100.00,24500.00,38400.00,52200.00,80900.00,149000.00
UT,2500.00,3600.00,5600.00,8000.00,11200.00,16500.00,28000.00
VT,300.00,700.00,1100.00,1700.00,2200.00,3400.00,5300.00
VA,3100.00,5100.00,9900.00,15000.00,20500.00,30700.00,56600.00
WA,14900.00,21000.00,30200.00,40400.00,50500.00,66800.00,104100.00
WV,100.00,100.00,200.00,400.00,600.00,1000.00,1900.00
WI,2600.00,2800.00,3700.00,4700.00,6300.00,9300.00,15700.00
WY,100.00,100.00,200.00,200.00,300.00,500.00,800.00
