State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Year,state code,id
Alabama,500,900,29100,2016,AL,1
Alaska,200,200,5000,2016,AK,2
Arizona,4700,4400,89600,2016,AZ,4
Arkansas,200,500,19100,2016,AR,5
California,141500,116700,966700,2016,CA,6
Colorado,5300,3800,74000,2016,CO,8
Connecticut,2000,2800,43200,2016,CT,9
Delaware,300,700,11200,2016,DE,10
District of Columbia,600,500,11800,2016,DC,11
Florida,11600,10100,207100,2016,FL,12
Georgia,18000,4000,86400,2016,GA,13
Hawaii,4200,1200,22600,2016,HI,15
Idaho,400,600,16300,2016,ID,16
Illinois,5800,6000,146500,2016,IL,17
Indiana,1300,2400,54500,2016,IN,18
Iowa,400,1200,26900,2016,IA,19
Kansas,600,1000,26200,2016,KS,20
Kentucky,500,900,30900,2016,KY,21
Louisiana,400,500,17700,2016,LA,22
Maine,300,1000,17900,2016,ME,23
Maryland,3200,5000,85900,2016,MD,24
Massachusetts,3600,5200,98300,2016,MA,25
Michigan,1600,11600,64900,2016,MI,26
Minnesota,1600,2400,58900,2016,MN,27
Mississippi,100,200,11800,2016,MS,28
Missouri,1400,2100,63800,2016,MO,29
Montana,200,200,9800,2016,MT,30
Nebraska,300,600,14500,2016,NE,31
Nevada,2000,1400,30700,2016,NV,32
New Hampshire,400,1000,19200,2016,NH,33
New Jersey,4200,5500,80900,2016,NJ,34
New Mexico,500,600,20800,2016,NM,35
New York,6100,12100,166500,2016,NY,36
North Carolina,2900,3600,107400,2016,NC,37
North Dakota,200,100,3400,2016,ND,38
Ohio,2600,4400,91900,2016,OH,39
Oklahoma,600,700,24800,2016,OK,40
Oregon,7700,4300,83300,2016,OR,41
Pennsylvania,3200,5400,103200,2016,PA,42
Rhode Island,300,600,11000,2016,RI,44
South Carolina,800,1200,39300,2016,SC,45
South Dakota,100,200,5300,2016,SD,46
Tennessee,2600,1700,48400,2016,TN,47
Texas,11900,8000,205800,2016,TX,48
Utah,2500,1700,32700,2016,UT,49
Vermont,300,1200,11600,2016,VT,50
Virginia,3100,4200,126700,2016,VA,51
Washington,14900,6400,143400,2016,WA,53
West Virginia,100,300,9200,2016,WV,54
Wisconsin,2600,2600,61700,2016,WI,55
Wyoming,100,100,3800,2016,WY,56
Alabama,800,1100,30600,2017,AL,1
Alaska,400,300,5200,2017,AK,2
Arizona,7200,5800,96000,2017,AZ,4
Arkansas,300,600,20000,2017,AR,5
California,189700,159600,1039300,2017,CA,6
Colorado,8000,5200,79800,2017,CO,8
Connecticut,3000,3900,45200,2017,CT,9
Delaware,400,900,11900,2017,DE,10
District of Columbia,800,700,13600,2017,DC,11
Florida,15900,13400,219700,2017,FL,12
Georgia,14400,5200,92200,2017,GA,13
Hawaii,5400,1700,23700,2017,HI,15
Idaho,700,800,17700,2017,ID,16
Illinois,8300,7700,155800,2017,IL,17
Indiana,1900,3200,59700,2017,IN,18
Iowa,600,1500,29000,2017,IA,19
Kansas,1000,1300,28200,2017,KS,20
Kentucky,700,1200,33900,2017,KY,21
Louisiana,600,700,18700,2017,LA,22
Maine,500,1300,18900,2017,ME,23
Maryland,4400,6500,91200,2017,MD,24
Massachusetts,5600,7900,103600,2017,MA,25
Michigan,2500,12000,72000,2017,MI,26
Minnesota,2300,3100,63300,2017,MN,27
Mississippi,200,300,12800,2017,MS,28
Missouri,2100,3300,88800,2017,MO,29
Montana,300,300,10000,2017,MT,30
Nebraska,500,800,15800,2017,NE,31
Nevada,3100,2000,34400,2017,NV,32
New Hampshire,600,1500,20300,2017,NH,33
New Jersey,6900,8100,84900,2017,NJ,34
New Mexico,700,1000,23600,2017,NM,35
New York,9400,17100,171000,2017,NY,36
North Carolina,4400,4800,114300,2017,NC,37
North Dakota,100,200,3700,2017,ND,38
Ohio,3700,5600,98600,2017,OH,39
Oklahoma,1200,900,25900,2017,OK,40
Oregon,10000,6000,90900,2017,OR,41
Pennsylvania,4400,7500,110100,2017,PA,42
Rhode Island,400,800,11800,2017,RI,44
South Carolina,1200,1600,41900,2017,SC,45
South Dakota,100,200,5900,2017,SD,46
Tennessee,2900,2100,53400,2017,TN,47
Texas,16100,10900,217100,2017,TX,48
Utah,3600,2500,36700,2017,UT,49
Vermont,700,1600,12200,2017,VT,50
Virginia,5100,6100,136800,2017,VA,51
Washington,21000,9800,165100,2017,WA,53
West Virginia,100,400,9700,2017,WV,54
Wisconsin,2800,3500,67100,2017,WI,55
Wyoming,100,100,4000,2017,WY,56
Alabama,1300,1500,31800,2018,AL,1
Alaska,500,300,5400,2018,AK,2
Arizona,12600,7700,102000,2018,AZ,4
Arkansas,600,800,20300,2018,AR,5
California,273500,215000,1085300,2018,CA,6
Colorado,12500,7400,84700,2018,CO,8
Connecticut,5000,5200,45100,2018,CT,9
Delaware,800,1200,12300,2018,DE,10
District of Columbia,1100,1000,13900,2018,DC,11
Florida,27400,17400,226900,2018,FL,12
Georgia,15900,7000,97100,2018,GA,13
Hawaii,6600,2400,24800,2018,HI,15
