State,PHEV2016,PHEV2017,PHEV2018,PHEV2019,PHEV2020,PHEV2021,PHEV2022
AL,900,1100,1500,1800,2100,3300,4400
AK,200,300,300,400,400,500,700
AZ,4400,5800,7700,9600,11200,15500,20400
AR,500,600,800,1000,1100,1800,2500
CA,116700,159600,215000,247300,265500,315300,361100
CO,3800,5200,7400,9300,10800,16100,24000
CT,2800,3900,5200,5700,6200,9200,13100
DE,700,900,1200,1300,1500,2000,2800
DC,500,700,1000,1300,1600,2500,3200
FL,10100,13400,17400,20400,22400,32200,45800
GA,4000,5200,7000,8400,9400,13600,18100
HI,1200,1700,2400,2900,3200,4500,5600
ID,600,800,1100,1500,1700,2500,3500
IL,6000,7700,9900,11600,13000,18300,25700
IN,2400,3200,4100,4700,5300,7500,10100
IA,1200,1500,2000,2400,2600,3600,4900
KS,1000,1300,1800,2100,2400,3300,4300
KY,900,1200,1500,1800,2100,3100,4400
LA,500,700,900,1000,1200,2000,2900
ME,1000,1300,1800,2200,2800,4200,5700
MD,5000,6500,8400,10000,11900,17200,22900
MA,5200,7900,11600,12900,15600,22200,30500
MI,11600,12000,12300,12400,12500,17200,24300
MN,2400,3100,4800,5800,6700,8900,11900
MS,200,300,500,600,700,1100,1600
MO,2100,3300,4200,5000,5300,7200,10400
MT,200,300,400,500,600,1100,1700
NE,600,800,1000,1100,1300,2000,2900
NV,1400,2000,2900,3600,4200,6300,8800
NH,1000,1500,2000,2200,2500,3500,4800
NJ,5500,8100,10800,11700,12800,18500,26800
NM,600,1000,1300,1600,1900,2800,3900
NY,12100,17100,24300,28000,32600,44600,59800
NC,3600,4800,6500,8100,9300,13500,18800
ND,100,200,200,200,300,400,600
OH,4400,5600,7200,8600,9500,13100,17800
OK,700,900,1300,1600,1800,6900,11500
OR,4300,6000,8400,10400,11800,16900,22500
PA,5400,7500,9500,11200,12800,17800,25400
RI,600,800,1200,1300,1600,2400,3400
SC,1200,1600,2200,2600,3000,4700,6700
SD,200,200,300,400,500,700,1000
TN,1700,2100,2900,3600,4300,6300,8900
TX,8000,10900,14700,18100,20400,30600,42800
UT,1700,2500,3400,4400,5200,7500,10200
VT,1200,1600,2000,2000,2300,3200,4200
VA,4200,6100,8100,9800,11200,15800,21700
WA,6400,9800,13700,16100,18400,24300,31400
WV,300,400,500,600,700,1000,1400
WI,2600,3500,4500,5300,5900,7700,10000
WY,100,100,200,200,300,400,600
